AllDownDesc, 'Wszystkie dostępne dodatki są już pobrane.';
AlreadyInstalFail, 'Ten dodatek jest już zainstalowany.';
ApplicationRestart, 'Aplikacja się uruchomi ponownie';
Cancel, 'Anulować';
CantDownload, 'Nie udało się pobrać dodatków';
CatDLC, 'Dodatek Steam';
CatEnv, 'Otoczenie';
CatLoco, 'Lokomotywy';
CatOther, 'Inne';
CatRVDep, 'Zależności pojazdów';
CatScenery, 'Sceneria';
CatSystem, 'SYSTEMOWY DODATEK';
CatTrackObj, 'Mapowe obiekty';
CatWag, 'Wagony';
ConflictFileDesc1, 'Ten dodatek jest już zainstalowany, jednak nie tą aplikacją:';
ConflictFileDesc2, 'Proszę wybrać jedną z następujących opcji!';
ConflictFileTitle, 'Znależiono konflikcyjny plik!';
CountryNon, 'Nie określono';
CountSizeFail, 'Wystąpil bląd przy obliczaniu wielkości pliku {0}!';
CrawlingRouteFail, 'Wystapil bląd przy indeksowaniu mapy "{0}"!';
CriticalError, 'Bląd krytyczny!';
DepStateAvail, 'Dostępne';
DepStateDown, 'Pobrane';
DepStatePaid, 'Płatne DLC';
DepStateUnav, 'Niedostępne';
DepStateUnk, 'Nieznane';
DepWindowTitle1, 'Zależności mapy';
DepWindowTitle2, 'Zależności scenariuszów';
DownloadError, 'Wystąpil nieznany bląd przy pobieraniu';
DownloadingUpdate, 'Trwa pobieranie aktualizacji aplikacje...';
DownloadTitle, 'Pobieranie dodatku {0}/{1}';
Era1, 'I.';
Era2, 'II.';
Era3, 'III.';
Era4, 'IV.';
Era5, 'V.';
Era6, 'VI.';
EraNon, 'Nieokreślone';
FailedCopyFiles, 'Nieudalo się zkopiować następujące pliki!';
FindFileFail, 'FindFile dła {0} wrócil prózny wynik!';
GzipEntryFail, 'Wystąpil bląd przy czytaniu zapisu gzip w pliku {0}!';
GzipFileFail, 'Plik gzip {0} jest uszkodzony!';
GzipReadFail, 'Wystąpil bląd przy czytaniu pliku gzip {0}!';
CheckingDLC, 'Szukanie zainstalowanych DLC';
InstalFail, 'Podczas instalacji dodatku wystąpil nieoczekiwany bląd!';
Installing, 'Trwa instalacja...';
InstallingUpdate, 'Trwa instalacja aktualizacji...';
InvalidFileName, '#ZŁA NAZWA';
KeepAll, 'Zostawić wszystkie!';
KeepLocal, 'Zostawić!';
LoginDesc, 'Proszę zalogować się kontem DLS!';
LoginEmailHint, 'Adres E-mail...';
LoginForgot, 'Zapomniałeś hasła?';
